Furniture
2935	exotic bed
314b	black modern roof
314c	straw-thatched roof
314d	black-tile roof
314e	fairy-tale roof
314f	ranch roof
3150	shanty roof
3151	concrete roof
3152	sweets roof
3153	white roof
3154	purple-shingle roof
3155	black-straw roof
3156	mermaid roof
3157	simple blue roof
3158	purple roof
3159	pink roof
315a	black roof
315b	yellow roof
315c	fuchsia roof
315d	black-shingle roof
315e	brown roof
315f	grass roof
3160	stone roof
3161	mint fairy-tale roof
3162	uneven stone roof
3163	simple green roof
3164	simple gray roof
3165	golden roof
3166	blue roof
3167	yellow roof
3168	green roof
3169	rope fence
316a	picket fence
316b	country fence
316c	hedge
316d	pink mermaid fence
316e	blue mermaid fence
316f	red-brick fence
3170	gray-brick fence
3171	pink fence
3172	fairy-tale fence
3173	corral fence
3174	curvy fence
3175	blue fence
3176	fancy fence
3177	zen fence
3178	barbed-wire fence
3179	sweets fence
317a	concrete fence
317b	shanty fence
317c	bamboo fence
317d	sculpted hedge
317e	cinder-block wall
317f	golden fence
3180	brick exterior
3181	exotic exterior
3182	cobblestone exterior
3183	astro exterior
3184	kiddie exterior
3185	simple exterior
3186	cabana exterior
3187	zen exterior
3188	fairy-tale exterior
3189	cabin exterior
318a	shanty exterior
318b	concrete exterior
318c	sweets exterior
318d	white-brick exterior
318e	chalet exterior
318f	brown-brick exterior
3190	mermaid exterior
3191	red-barn exterior
3192	blue chalet exterior
3193	pink exterior
3194	blue exterior
3195	orange exterior
3196	garden exterior
3197	yellow exterior
3198	white exterior
3199	stucco exterior
319a	stone exterior
319b	melon exterior
319c	earthy exterior
319d	fancy exterior
319e	black exterior
319f	golden exterior
31a0	colorful gravel
31a1	stone pavement
31a2	brick pavement
31a3	pebble pavement
31a4	square pavement
31a5	concrete pavement
31a6	blue-brick pavement
31a7	pink pavement
31a8	brown pavement
31a9	mansion
31aa	zen castle
31ab	castle
31ac	modern house
